id, city, state, donation, house_price, house_sold_at, years_sold, avg_city_income, file_id
0, katy, 45, 100, 193252, 193252, 1, 51111, 0
1, orlando, 11, 50, 391400, 391400, 1, 35732, 0
2, San Ramon, 6, 500, 903439, 310000, 18, 95856, 0
3, Sunnyvale, 6, 150, 8507866, 8507866, 0, 74409, 0
4, Saratoga, 6, 50, 3283664, 2900000, 6, 139895, 0
5, PLEASANTON, 6, 50, 1631384, 1474000, 6, 90859, 0
6, Fremont, 6, 250, 895324, 210000, 25, 76579, 0
7, Lebanon, 26, 100, 388832, 145750, 28, 44512.0130806292, 0
8, Cupertino, 6, 100, 735418, 647000, 6, 100411, 0
9, san antonio, 45, 20, , , 0, 36214, 0
10, Milpitas, 6, 100, 773528, 839000, 6, 84429, 0
11, Fremont, 6, 100, 1361909, 1150000, 4, 76579, 0
12, Pleasanton, 6, 250, 826019, 363000, 19, 90859, 0
13, Pleasanton, 6, 50, 739014, 750000, 7, 90859, 0
14, Pleasanton, 6, 50, 739014, 750000, 7, 90859, 0
15, Livermore, 6, 50, 1065384, 1065384, 0, 75322, 0
16, Rockledge, 11, 50, 1181429, 250000, 7, 45218, 0
17, Atherton, 6, 50, 3391896, 510000, 27, 200001, 0
18, suwanee, 12, 200, 432945, 346300, 2, 84038, 0
19, san antonio, 45, 100, , , 0, 36214, 0
20, Dublin, 6, 100, 435916, 427500, 5, 77283, 0
21, fremont, 6, 25, 609395, 510000, 0, 76579, 0
22, Caroline Springs, 0, 100, , , 0, 36829, 0
23, Dedham, 35, 100, , , 0, 61699, 0
24, Fremont, 6, 100, 1139633, 320000, 18, 76579, 0
25, El Dorado Hills, 6, 200, 343004, 510000, 4, 44512.0130806292, 0
26, Fremont, 6, 25, 1236056, 675000, 13, 76579, 0
27, Fremont, 6, 100, , , 0, 76579, 0
28, Fremont, 6, 50, , , 0, 76579, 0
29, malden, 35, 25, 259902, 259902, 0, 45654, 0
30, Dublin, 6, 50, , , 0, 77283, 0
31, San Ramon, 6, 100, 1198330, 1032500, 5, 95856, 0
32, madhur ngr, 0, 100, , , 0, , 0
33, Tampa, 11, 30, 230386, 205000, 5, 34415, 1
34, Acton, 35, 30, 474064, 409900, 10, 44512.0130806292, 1
35, Rancho Santa Margarita, 6, 360, 630734, 630734, 0, 78475, 1
36, Rancho Santa Margarita, 6, 360, 630734, 630734, 0, 78475, 1
37, Santa Clara, 6, 90, 7561956, 7561956, 0, 69466, 1
38, Cupertino, 6, 60, 1660333, 780000, 11, 100411, 1
39, Cupertino, 6, 60, 1734882, 1280000, 8, 100411, 1
40, Cupertino, 6, 360, 2489449, 575000, 15, 100411, 1
41, Cupertino, 6, 740, 2489449, 575000, 15, 100411, 1
42, Cupertino, 6, 90, 866242, 579000, 4, 100411, 1
43, Cupertino, 6, 30, 1325486, 680000, 13, 100411, 1
44, hercules, 6, 30, 416937, 400000, 11, 75196, 1
45, sunnyvale, 6, 60, 1408797, 682000, 10, 74409, 1
46, sunnyvale, 6, 30, 1408797, 682000, 10, 74409, 1
47, Sunnyvale, 6, 30, , , 0, 74409, 1
48, west babylon, 28, 60, 273486, 315000, 5, 44512.0130806292, 1
49, austin, 45, 30, 234747, 234747, 0, 42689, 1
50, Foster City, 6, 30, 683211, 570000, 3, 95279, 1
51, Edison, 26, 30, , , 0, 69746, 1
52, Tewksbury, 35, 60, 415617, 51000, 35, 44512.0130806292, 1
53, Pittsburgh, 40, 90, , , 0, 28588, 1
54, San Diego, 6, 360, 472216, 535000, 9, 45733, 1
55, CUPERTINO, 6, 116, 1535624, 1278000, 1, 100411, 1
56, Corvallis, 33, 60, 318648, 353240, 7, 35236, 1
57, Sunnyvale, 6, 60, 1394841, 1300000, 0, 74409, 1
58, Los Gatos, 6, 60, 1241926, 1060000, 2, 44512.0130806292, 1
59, Heathrow, 11, 30, 278158, 342000, 8, 84241, 1
60, Mountain View, 6, 90, 717817, 478000, 11, 69362, 1
61, Sunnyvale, 6, 30, 857995, 550000, 4, 74409, 1
62, Sunnyvale, 6, 360, 857995, 550000, 4, 74409, 1
63, Sunnyvale, 6, 60, , , 0, 74409, 1
64, los altos, 6, 60, 4400231, 1400000, 16, 126740, 1
65, Mountain View, 6, 30, 891051, 891051, 0, 69362, 1
66, sunnyvale, 6, 60, 1471863, 1050000, 7, 74409, 1
67, San Ramon, 6, 30, 1004764, 760000, 4, 95856, 1
68, Jersey City, 26, 30, 434690, 123000, 21, 37862, 1
69, Beaverton, 33, 30, , , 0, 47863, 1
70, walnut, 6, 90, 1409851, 462000, 16, 81015, 1
71, San Diego, 6, 30, 707158, 525500, 2, 45733, 1
72, Belle Mead, 26, 90, 785989, 504000, 11, , 1
73, Tucson, 4, 30, 85828, 86000, 3, 30981, 1
74, Plainsboro, 26, 60, , , 0, 44512.0130806292, 1
75, Union city, 6, 60, 710515, 811000, 8, 71926, 1
76, SARATOGA, 6, 30, 2155557, 1753000, 3, 139895, 1
77, Winnetka, 6, 360, 423658, 286000, 10, 36687, 1
78, cupertino, 6, 30, 3787032, 3787032, 0, 100411, 1
79, Saratoga, 6, 100, 1742489, 1405000, 4, 139895, 1
80, Cupertino, 6, 60, 1553459, 879000, 11, 100411, 1
81, Cupertino, 6, 60, 2562092, 2000000, 4, 100411, 1
82, Ramsey, 26, 30, 407401, 407401, 0, 44512.0130806292, 1
83, san francisco, 6, 360, 1526183, 1526183, 0, 55221, 1
84, Dayton, 26, 30, 641510, 677000, 7, 79050, 1
85, Santa Clara, 6, 30, 355313, 360000, 8, 69466, 1
86, cupertino, 6, 90, 2388737, 2388737, 0, 100411, 1
87, CORONA, 6, 30, 475539, 247000, 15, 59615, 1
88, Fremont, 6, 30, 1975088, 1365000, 2, 76579, 1
89, Laguna Niguel, 6, 30, 893429, 484500, 13, 80733, 1
90, Castro Valley, 6, 30, 950484, 720000, 13, 44512.0130806292, 1
91, Castro Valley, 6, 30, 950484, 720000, 13, 44512.0130806292, 1
92, san jose, 6, 30, 875462, 658000, 13, 70243, 1
93, San Jose, 6, 30, 779124, 779124, 0, 70243, 1
94, Fremont, 6, 360, 1430651, 1452000, 7, 76579, 1
95, San Jose, 6, 30, 636346, 206000, 21, 70243, 1
96, San Jose, 6, 31, 636346, 206000, 21, 70243, 1
97, fremont, 6, 60, , , 0, 76579, 1
98, Aurora, 15, 30, 191311, 142000, 2, 54861, 1
99, fremont, 6, 30, 750269, 643500, 9, 76579, 1
100, Fremont, 6, 60, 299699, 299699, 0, 76579, 1
101, San Jose, 6, 5, 831572, 572500, 12, 70243, 1
102, Fremont, 6, 30, 742777, 600000, 9, 76579, 1
103, San Jose, 6, 100, 750750, 102272, 14, 70243, 1
104, santa clara, 6, 60, 6232182, 6232182, 0, 69466, 1
105, Milpitas, 6, 30, 898696, 898696, 0, 84429, 1
106, Fremont, 6, 30, 434647, 329000, 13, 76579, 1
107, Fremont, 6, 222, , , 0, 76579, 1
108, MANALAPAN, 26, 90, 430186, 405000, 3, 44512.0130806292, 1
109, NEW YORK, 28, 360, 821689, 682500, 0, 38293, 1
110, San Mateo, 6, 90, 1316633, 1050000, 5, 64757, 1
111, Prospect Heights, 15, 90, 498044, 455000, 0, 55641, 1
112, San Jose, 6, 150, , , 0, 70243, 1
113, Simi Valley, 6, 90, 425259, 487000, 8, 70370, 1
114, Tampa, 11, 60, 323411, 204000, 10, 34415, 1
115, plainsboro, 26, 30, 169544, 131000, 6, 44512.0130806292, 1
116, plainsboro, 26, 50, 169544, 131000, 6, 44512.0130806292, 1
117, Fremont, 6, 30, 726200, 790500, 7, 76579, 1
118, Concord, 6, 30, 474136, 455000, 10, 55597, 1
119, San Jose, 6, 41, 439837, 405000, 12, 70243, 1
120, San Jose, 6, 60, 439837, 405000, 12, 70243, 1
121, santa clara, 6, 60, 748346, 690000, 6, 69466, 1
122, San Jose, 6, 20, 461624, 552500, 7, 70243, 1
123, Fremont, 6, 90, , , 0, 76579, 1
124, Fremont, 6, 30, 536117, 411000, 4, 76579, 1
125, Franklin, 51, 360, 305242, 285000, 8, 64315, 1
126, Stockton, 6, 90, 752960, 691000, 12, 35453, 1
127, Turlock, 6, 60, 138194, 103000, 23, 39050, 1
128, Palo Alto, 6, 300, , , 0, 90377, 1
129, mountain house, 6, 30, 407708, 300000, 1, , 1
130, Dublin, 6, 30, 685456, 732000, 9, 77283, 1
131, San Jose, 6, 60, 887178, 290000, 20, 70243, 1
132, San Ramon, 6, 50, , , 0, 95856, 1
133, Cupertino, 6, 30, 1039715, 720000, 12, 100411, 1
134, Plano, 45, 30, 234065, 234065, 4, 78722, 1
135, MADISON, 51, 60, , , 0, 44512.0130806292, 1
136, San Jose, 6, 90, 884283, 712000, 3, 70243, 1
137, Sunnyvale, 6, 90, , , 0, 74409, 1
138, Campbell, 6, 30, 842196, 801000, 1, 67214, 1
139, Cupertino, 6, 30, , , 0, 100411, 1
140, San Ramon, 6, 60, 1431812, 1222500, 3, 95856, 1
141, Dublin, 6, 30, , , 0, 77283, 1
142, Dublin, 6, 50, , , 0, 77283, 1
143, Dublin, 6, 75, , , 0, 77283, 1
144, Dublin, 6, 75, , , 0, 77283, 1
145, San Jose, 6, 30, , , 0, 70243, 1
146, San Jose, 6, 60, 707837, 501000, 11, 70243, 1
147, San Jose, 6, 30, 707837, 501000, 11, 70243, 1
148, Foster City, 6, 60, 673250, 420000, 11, 95279, 1
149, kendall park, 26, 30, 353100, 381000, 4, 44512.0130806292, 1
150, Orangevale, 6, 90, 343532, 343532, 0, 53371, 1
151, Hillsborough, 26, 90, 476785, 119190, 30, 44512.0130806292, 1
152, SUNNYVALE, 6, 30, 1108109, 734500, 9, 74409, 1
153, Oklahoma City, 32, 30, , , 0, 34947, 1
154, Cobham, 0, 150, , , 0, 43403, 1
155, San Jose, 6, 90, , , 0, 70243, 1
156, K.K.Nagar, 0, 60, , , 0, , 1
157, BSB, 0, 90, , , 0, , 1
158, BSB, 0, 120, , , 0, , 1
159, BSB, 0, 90, , , 0, , 1
160,  San Jose , 0,   15 , , , 0, , 2
161,  Monte Sereno , 0,   100 , 2133948, 2200000, 6, , 2
162,  Sunnyvale , 0,   25.18 , , , 0, 74409, 2
163,   , 0,   15 , , , 0, 44512.0130806292, 2
164,   , 0,   15 , , , 0, , 2
165,  Abu Dhabi , 0,   51.36 , , , 0, 44512.0130806292, 2
166,   , 0,   450 , , , 0, 44512.0130806292, 2
167,  Palo Alto , 0,   50 , 1356993, 882000, 5, 90377, 2
168,  Palo Alto , 0,   50 , 1356993, 882000, 5, 90377, 2
169,  Westborough , 0,   92.5 , , , 0, , 2
170,  Cupertino , 0,   151 , , , 0, 100411, 2
171,  baytown , 0,   25.18 , , , 0, 44512.0130806292, 2
172,   , 0,   25.18 , , , 0, 44512.0130806292, 2
173,   Apt. 202 , 0,   12.09 , , , 0, , 2
174,  Palo Alto , 0,   500 , , , 0, , 2
175,  San Jose , 0,   25 , 972179, 882000, 1, , 2
176,  San Jose , 0,   5 , 972179, 882000, 1, 70243, 2
177,  Fremont , 0,   50 , , , 0, , 2
178,  Livermore , 0,   51.36 , , , 0, 75322, 2
179,  Fremont , 0,   300 , 2214719, 1500000, 0, 76579, 2
180,   , 0,   5000 , , , 0, 44512.0130806292, 2
181,   , 0,   1315.16 , , , 0, 44512.0130806292, 2
182,   , 0,   1686.78 , , , 0, , 2
183,   , 0,   400 , , , 0, 44512.0130806292, 2
